Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Non-Violent,Property,Theft Under $5000,82 AV/83 ST,15740,2025/03/20,-12629840.8118,7079411.5633
Non-Violent,Property,Theft Under $5000,100A ST/102 ST,15741,2025/03/20,-12633907.6344,7084434.3366
Non-Violent,Counterfeiting/Gaming and Betting,Counterfeit Money,CAPILANO TC/CAPILANO TC,15742,2025/03/20,-12626105.9166,7083239.3573
Disorder,Mischief/Graffiti,Mischief - Property,128A AV/82 ST,15743,2025/03/21,-12631117.1969,7092317.1011
Non-Violent,Property,Fire Arson,111A AV/114 ST,15744,2025/03/20,-12636693.2888,7087243.7899
Non-Violent,Property,Theft of Motor Vehicle,115A AV/140 ST,15745,2025/03/19,-12641771.148,7088424.55830001
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,15746,2025/03/21,-12625669.0754,7093543.5513
Disorder,Mischief/Graffiti,Mischief - Property,112S AV/112S AV,15747,2025/03/21,-12630841.9729,7087467.9599
Non-Violent,Property,Internet Fraud,167 ST SW/15 AV SW,15748,2025/03/20,-12647024.2317,7061018.4462
Non-Violent,Property,Theft Under $5000,91 ST SW/91 ST SW,15749,2025/03/21,-12631887.3804,7061715.1642
Non-Violent,Property,Break and Enter Residential,5 ST/MAPLE WY,15750,2025/03/20,-12618006.3085,7072370.4924
Non-Violent,Property,Theft Under $5000,CALGARY TR/NOT NAMED RD,15751,2025/03/21,-12634279.1395,7069759.7179
Non-Violent,Property,Theft Under $5000,123A ST/137 AV,15752,2025/03/21,-12638651.3676,7094666.3579
Non-Violent,Property,Break and Enter Residential,RUTHERFORD RD SW/RUTHERFORD RD SW,15753,2025/03/21,-12637876.9869,7059808.6678
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,15754,2025/03/21,-12634194.1239,7073320.7994
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,15755,2025/03/21,-12625669.0754,7093543.5513
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,15756,2025/03/21,-12624378.4956,7094314.4636
